Id,Categoria de Informação,Classe maior,Sub-classe maior,Classe menor,Nomenclatura Greencloud,Nomenclatura PEDEA,Coluna atributo,Link Drive (SHP),Link Drive (KML)
1,Biodiversidade,Áreas protegidas,,,0604_CE_poligonal_uc_estaduais_2023_pol,UC Estaduais (CEUC/SEMA_2023),tipounidad,,
2,Biodiversidade,Áreas protegidas,,,0604_CE_poligonal_uc_federais_2023_pol,UC Federais (CNUC/ICMBio_2023),tipounidad,,
3,Biodiversidade,Áreas protegidas,,,0604_CE_poligonal_uc_municipais_2022_pol,UC Municipais (CEUC/SEMA_2023),tipounidad,,
4,Biodiversidade,Infraestrutura e serviços de suporte a UC,,,0601_CE_pontos_turisticos_visitacao_uc_2022_pto,Pontos de visitação (SEMA_2022),nome_uc,https://drive.google.com/drive/folders/1RceqDPfSed9ECjP6I3mOKRRpDZAaJlGK?usp=share_link,https://drive.google.com/drive/folders/17FNwRi-MSrrd-5C5ex5xCSzDJONzd-Ve?usp=share_link
5,Biodiversidade,Infraestrutura e serviços de suporte a UC,,,0601_CE_sede_uc_2022_pto,Sede das UC (SEMA_2022),nome_uc,https://drive.google.com/drive/folders/1cvW3-BDY-7ATM9aL-oT6-de3AnTExhHA?usp=share_link,https://drive.google.com/drive/folders/1JmJGZs1eXe2axA131xlXOsHhGNHNhhk6?usp=share_link
6,Biodiversidade,Reserva da Biosfera,,,0602_CE_postos_biosfera_matlantica_2021_pto,Postos RBMA (SEMA_2021),posto,https://drive.google.com/drive/folders/1wyyYnF45D4tWjoMS-DJtHf1QCS7vVwps?usp=share_link,https://drive.google.com/drive/folders/1Wc_zMyeBqeQe2DecqAvxRgM-sTJpSY-J?usp=share_link
7,Biodiversidade,Serviços Ambientais,,,0603_CE_coletas_sementes_nativas_2020_pto,Coleta de sementes florestais nativas (SEMA_2020),especie,https://drive.google.com/drive/folders/1Uy0YjzZ7jpMbm7OGSYNuZMdpGdtSecet?usp=share_link,https://drive.google.com/drive/folders/1h4ZG1GrkuUob0cDSvj8N_CRcij6gYrVK?usp=share_link
8,Educação Ambiental,Capacitações,,,0300_CE_formacao_educ_amb_2015_2022_pol,Formação Educação Ambiental (SEMA_2022),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1bMGJJj1a_InfuFaQbXOFH9-xCsWuRLn5?usp=share_link,https://drive.google.com/drive/folders/1I19Qgeb4AEU3iELeLp1T9BIvXAcRMzQm?usp=share_link
9,Educação Ambiental,Capacitações,,,0300_CE_multiplicadores_educ_amb_2015_2022_pol,Multiplicadores Educação Ambiental (SEMA_2022),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1kEtSShgpDryfYmHYa84S2lzjEQVljG-g?usp=share_link,https://drive.google.com/drive/folders/1XfiyL7_mPFULqFtW4mwOJCQVVYlvUHgN?usp=share_link
10,Educação Ambiental,Capacitações,,,0300_CE_pac_2021_pto,Plano de Ação Comunitária (SEMA_2021),eixo_temat,,
11,Educação Ambiental,Capacitações,,,0300_CE_pac_2022_pto,Plano de Ação Comunitária (SEMA_2022),eixo_temat,,
12,Educação Ambiental,Municípios Promotores Cultura Oceânica,,,0301_CE_munic_cultura_oceanica_2023_pol,Municipios com Cultura Oceânica (CBMCE_2023),Simbologia não categorizada por atributo,,
13,Energia e Telecomunicações,Matriz Energética e Elétrica,,,1400_CE_oleodutos_2022_lin,Oleodutos (EPE_2022),duto,,
14,Energia e Telecomunicações,Matriz Energética e Elétrica,,,1400_CE_base_combustiveis_2020_pto,Bases combustíveis (EPE_2020),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1icvypaUMRoGRYVfaNPyjE37gYdcmR3V8?usp=share_link,https://drive.google.com/drive/folders/17QvZsGhbZ1OM180U2DHRdVDkGQn5oE6S?usp=share_link
15,Energia e Telecomunicações,Matriz Energética e Elétrica,,,1400_CE_bases_glp_2020_pto,Bases GLP (EPE_2020),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/15oEmJz7ygv1b2nkTQWkT8GCvgxvrYxaI?usp=share_link,https://drive.google.com/drive/folders/1nLleXfAuRNsfd1cTj5V3opc8YgaN0GJu?usp=share_link
16,Energia e Telecomunicações,Matriz Energética e Elétrica,,,1400_CE_gasoduto_distribuicao_2020_lin,Gasodutos de distribuição RMF (EPE_2020),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1-nyIXQ4tt5uXA_t1Wdh5SA_0AXfN1s4_?usp=share_link,https://drive.google.com/drive/folders/1J1UUoBuUM6B5hgShVw8KQXVxyk5p1VVH?usp=share_link
17,Energia e Telecomunicações,Matriz Energética e Elétrica,,,1400_CE_gasodutos_transporte_2020_lin,Gasodutos de transporte (EPE_2020),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1UHhhDwEUvxyTAiPYToXdESfmb99R8mAb?usp=share_link,https://drive.google.com/drive/folders/1JekG_Bnd-Qvj9npSIeYx1cqL0gQ25qFP?usp=share_link
18,Energia e Telecomunicações,Matriz Energética e Elétrica,,,1400_CE_plantas_biodisel_2020_pto,Usinas biodisel (EPE_2020),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1TDkJBXVQ1uZ7_TEVgE4qdoesUrqbqdgD?usp=share_link,https://drive.google.com/drive/folders/1T3hfRDQIAaOMDr_25wTKC7MhlI-c8LW2?usp=share_link
19,Energia e Telecomunicações,Matriz Energética e Elétrica,,,1400_CE_plantas_biogas_2020_pto,Usinas biogás (EPE_2020),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1L5SuB4obp_dtWSZU5tUIADRk6afz1qD9?usp=share_link,https://drive.google.com/drive/folders/11qETl2qneuQxktaEVnTO-XcvjxoKhwCM?usp=share_link
20,Energia e Telecomunicações,Matriz Energética e Elétrica,,,1400_CE_plantas_etanol_2020_pto,Usinas etanol (EPE_2020),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1E3trMT5acb2xEfIKgkGFf4ofDjg-rHQW?usp=share_link,https://drive.google.com/drive/folders/1CFRhW7rfkLWZO7i5ZDeLvmeB-H8BagRq?usp=share_link
21,Energia e Telecomunicações,Matriz Energética e Elétrica,,,1400_CE_subestacao_existente_2020_pto,Substação elétrica (EPE_2020),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1d6OGePcyy-D6Dp22OcB-G2rB_SWU1Oed?usp=share_link,https://drive.google.com/drive/folders/1La-5Rf6ED1ShfpROLNs5JVcwccirinfW?usp=share_link
22,Energia e Telecomunicações,Matriz Energética e Elétrica,,,1400_CE_subestacao_planejada_2020_pto,Substação elétrica planejada (EPE_2020),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1sdIwS0TGgihBbBlXziYHe53bYS9rYrTp?usp=share_link,https://drive.google.com/drive/folders/1EQRa2sy4l8XQpmnpzdQvKYPfCukv-k9P?usp=share_link
23,Energia e Telecomunicações,Matriz Energética e Elétrica,,,1400_CE_termeletrica_fossil_existente_2020_pto,Usinas termelétricas (EPE_2020),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1yFxbezNFi1FyCAQnd_QcyFh2vM7Jl72_?usp=share_link,https://drive.google.com/drive/folders/1GOZjO1pvrLv6K50SwZ5RNV24ZkMzwqOI?usp=share_link
24,Energia e Telecomunicações,Matriz Energética e Elétrica,,,1400_CE_terminais_gnl_2020_pto,Usinas Gás Natural (EPE_2020),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1_T-i3AgA8l4cf30D-tZo1Crj4Nfkq-0J?usp=share_link,https://drive.google.com/drive/folders/1siwxawWz-C8IHbdlzgrDr-SvNy7nMovq?usp=share_link
25,Energia e Telecomunicações,Matriz Energética e Elétrica,,,1400_CE_usinas_solar_2020_pto,Usinas solares (EPE_2020),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1l9mDcHDm2syM4zUi0R-Y7OJRL5MqUC8s?usp=share_link,https://drive.google.com/drive/folders/1o1X43NwcuHD4CUhahNKtXWi2jGEk7BKY?usp=share_link
26,Energia e Telecomunicações,Matriz Energética e Elétrica,,,1400_CE_usinas_solar_planejada_2020_pto,Usinas solar planejadas (EPE_2020),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1aHqD6qZnfnwk4KZTFFYqbHh-p7Nxb8mu?usp=share_link,https://drive.google.com/drive/folders/1HQmm12tiTnLnmUFPaFlWvd1rrF9IZ1nK?usp=share_link
27,Energia e Telecomunicações,Sistema de transmissão elétrica,,,1401_CE_linhas_transmissao_existente_2020_lin,Linhas de transmissão de energia (EPE_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1Z1GXhfyyfPxP2k1thockS53GRxiMIMbz?usp=share_link,https://drive.google.com/drive/folders/1HaM_Dk3MUXaORoVj7Zt9A3BB16LuKVwo?usp=share_link
28,Energia e Telecomunicações,Sistema de transmissão elétrica,,,1401_CE_linhas_transmissao_planejada_2020_lin,Linhas de transmissão de energia planejadas (EPE_2020),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1I3ZIttLG9lVgqqZP6NMSDstbLNnRIybr?usp=share_link,https://drive.google.com/drive/folders/1mN1clT0Wwjv9qZ_Deuglvd0mhgfpzHxT?usp=share_link
29,Fiscalização Ambiental,Fiscalização,,,0200_CE_auto_infracao_2012_2018_pto,Auto de infração (SEMACE_2012-2018),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1RIL48oGu6Tj4G3NMykqmXIKOds3EQQZl?usp=share_link,https://drive.google.com/drive/folders/19AjLNledmx1GaKhLF-asyRC7ssgtSUhY?usp=share_link
30,Fiscalização Ambiental,Fiscalização,,,0200_CE_termo_embargo_2012_2022_pto,Termo de Embargo (SEMACE_2012-2022),Simbologia não categorizada por atributo,,
31,Fiscalização Ambiental,Fiscalização,,,0200_CE_termo_embargo_2012_2022_pol,Termo de Embargo (SEMACE_2012-2022),Simbologia não categorizada por atributo,,
32,Fiscalização Ambiental,Fiscalização,,,0200_CE_auto_infracao_2019_2022_pto,Auto de infração (SEMACE_2019-2022),Simbologia não categorizada por atributo,,
33,Hidrografia,Açudes,,,0803_CE_acudes_monitorados_2018_pol,Açudes Monitorados (COGERH_2018),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1ZCM1iEoYtSihGtC9zPDGkPVc6dTvXhzY?usp=share_link,https://drive.google.com/drive/folders/1OCjq9HujLl5OgSJlzRljwxwnokwpR8RY?usp=share_link
34,Hidrografia,Bacias Hidrograficas,,,0800_CE_bacias_hidrograficas_2000_pol,Bacias Hidrográficas (COGERH_2000),bacias,,
35,Hidrografia,Espelhos D'água,,,0802_CE_espelhos_dagua_2021_pol,Espelhos D'água (FUNCEME_2021),Simbologia não categorizada por atributo,,
36,Hidrografia,Infraestrutura Hidrica,,,0803_CE_reservatorios_monitorados_2022_pol,Reservatorios Monitorados (COGERH_2022),proprietar,,
37,Hidrografia,Rede de Drenagem,,,0805_CE_drenagem_rios_principais_2022_lin,Rios Principais (ANA),nome_compl,,
38,Hidrografia,Rede de Drenagem,,,0805_ce_rede_drenagem_2022_lin,Rede de Drenagem (ANA),Simbologia não categorizada por atributo,,
39,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Aspectos Socieconômicos Costeiro e Marinho,Cartografia Social do Mar,1200_CE_areas_pesca_artesanal_2022_pol,Áreas de pesca artesanal (CCMA-PCM_2022),municipio,https://drive.google.com/drive/folders/1I3D-I7upJEDsbrqeQrIcFTO9caWd-zil?usp=share_link,https://drive.google.com/drive/folders/11mMxCosd-iQaiEtyyMAa-0M3jbCZXODP?usp=share_link
40,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Aspectos Socieconômicos Costeiro e Marinho,Cartografia Social do Mar,1200_CE_biodiversidade_costeira_marinha_2022_pto,Biodiversidade costeira e marinha (CCMA-PCM_2022),nome,https://drive.google.com/drive/folders/1kLWpMMN3X-y5OmAqpQ63awJFiEi-e-xi?usp=share_link,https://drive.google.com/drive/folders/1Sp1bd2w5VhDu2CHeIa8ToaxpqqGiRYBK?usp=share_link
41,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Aspectos Socieconômicos Costeiro e Marinho,Cartografia Social do Mar,1200_CE_direcoes_embarcacoes_pesqueiras_2022_lin,Direções de embarcações pesqueiras (CCMA-PCM_2022),nome,https://drive.google.com/drive/folders/1vMz_6iKTMZlYEwKzrw26Pav8WkoSl2w-?usp=share_link,https://drive.google.com/drive/folders/14xH1OE7S43eu4EtajYWRIOlE0RSGWG1d?usp=share_link
42,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Aspectos Socieconômicos Costeiro e Marinho,Cartografia Social do Mar,1200_CE_infraestruturas_pesqueiras_2022_pto,Infraestruturas pesqueiras (CCMA-PCM_2022),nome,https://drive.google.com/drive/folders/1Wg8pvBJXW12jGSEtWcCO4wk2wV2yEdp-?usp=share_link,https://drive.google.com/drive/folders/1AEyyxkcN51_-jIUkrHncFOu2Ufuaj-F_?usp=share_link
43,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Aspectos Socieconômicos Costeiro e Marinho,Cartografia Social do Mar,1200_CE_naufragios_avancos_mar_2022_pto,Naufrágios e avanços do mar (CCMA-PCM_2022),nome,https://drive.google.com/drive/folders/1Dd9kgPRDotI3x6rO8t51-PJXhR6KuFYT?usp=share_link,https://drive.google.com/drive/folders/1wrs7XfBBuC_4xqMq7JMxj3VuDIUH9oxb?usp=share_link
